ticker,filing_type,period,filing_date,coupon_label,value,pct_of_portfolio
NLY,10-Q,2014-03-31,2014-05-08,Weighted Average Coupon,,65.3
NLY,10-Q,2014-06-30,2014-08-07,Weighted Average Coupon,,65.3
NLY,10-Q,2014-09-30,2014-11-06,Weighted Average Coupon,,65.3
NLY,10-Q,2015-03-31,2015-05-08,Weighted Average Coupon,,65.3
NLY,10-Q,2015-06-30,2015-08-06,Weighted Average Coupon,,65.3
NLY,10-Q,2015-09-30,2015-11-06,Weighted Average Coupon,,65.3
NLY,10-Q,2016-03-31,2016-05-05,ARM,62488.0,
NLY,10-Q,2016-03-31,2016-05-05,Fixed,902166.0,
NLY,10-Q,2016-03-31,2016-05-05,Floater,676838.0,
NLY,10-Q,2016-03-31,2016-05-05,Interest Only,17182.0,
NLY,10-Q,2016-06-30,2016-08-04,ARM,125996.0,
NLY,10-Q,2016-06-30,2016-08-04,Fixed,821064.0,
NLY,10-Q,2016-06-30,2016-08-04,Floater,759018.0,
NLY,10-Q,2016-06-30,2016-08-04,Interest Only,11792.0,
NLY,10-Q,2016-09-30,2016-11-04,ARM,125897.0,
NLY,10-Q,2016-09-30,2016-11-04,Fixed,781798.0,
NLY,10-Q,2016-09-30,2016-11-04,Floater,1210532.0,
NLY,10-Q,2016-09-30,2016-11-04,Interest Only,11329.0,
NLY,10-Q,2017-03-31,2017-05-05,ARM,140310.0,
NLY,10-Q,2017-03-31,2017-05-05,Fixed,621305.0,
NLY,10-Q,2017-03-31,2017-05-05,Floater,1319259.0,
NLY,10-Q,2017-03-31,2017-05-05,Interest-Only,15162.0,
NLY,10-Q,2017-06-30,2017-08-04,ARM,137631.0,
NLY,10-Q,2017-06-30,2017-08-04,Fixed,541469.0,
NLY,10-Q,2017-06-30,2017-08-04,Floater,1145802.0,
NLY,10-Q,2017-06-30,2017-08-04,Interest-Only,14977.0,
NLY,10-Q,2017-09-30,2017-11-03,ARM,166464.0,
NLY,10-Q,2017-09-30,2017-11-03,Fixed,531675.0,
NLY,10-Q,2017-09-30,2017-11-03,Floater,1092499.0,
NLY,10-Q,2017-09-30,2017-11-03,Interest-Only,19535.0,
NLY,10-Q,2018-03-31,2018-05-03,ARM,166818.0,
